2023-10-31 07:43:12
20231031 083222.281 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20231031 083222.281 INFO             PET0 !!! THE ESMF_LOG IS SET TO OUTPUT ALL LOG MESSAGES !!!
20231031 083222.281 INFO             PET0 !!!     THIS MAY CAUSE SLOWDOWN IN PERFORMANCE     !!!
20231031 083222.281 INFO             PET0 !!! FOR PRODUCTION RUNS, USE:                      !!!
20231031 083222.282 INFO             PET0 !!!                   ESMF_LOGKIND_Multi_On_Error  !!!
20231031 083222.282 INFO             PET0 !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
20231031 083222.282 INFO             PET0 Running with ESMF Version   : v8.6.0b13
20231031 083222.282 INFO             PET0 ESMF library build date/time: "Oct 31 2023" "07:40:35"
20231031 083222.282 INFO             PET0 ESMF library build location : /scratch2/NCEPDEV/stmp1/Gerhard.Theurich/ESMF-Nightly-Testing/intel_2023.1.0-classic_intelmpi_g_release_8.6.0/esmf
20231031 083222.282 INFO             PET0 ESMF_COMM                   : intelmpi
20231031 083222.282 INFO             PET0 ESMF_MOAB                   : enabled
20231031 083222.282 INFO             PET0 ESMF_LAPACK                 : enabled
20231031 083222.282 INFO             PET0 ESMF_NETCDF                 : enabled
20231031 083222.282 INFO             PET0 ESMF_PNETCDF                : disabled
20231031 083222.282 INFO             PET0 ESMF_PIO                    : enabled
20231031 083222.282 INFO             PET0 ESMF_YAMLCPP                : enabled
20231031 083222.282 INFO             PET0 mainApp STARTING
20231031 083222.288 INFO             PET0 driver: InitializeGeneric intro.
20231031 083222.289 INFO             PET0   driver: InitializeP0 intro.
20231031 083222.289 INFO             PET0   driver: InitializeP0 extro.
20231031 083222.289 INFO             PET0   driver: InitializeIPDv02p1 intro.
20231031 083222.289 INFO             PET0     >>>driver: entered Initialize (phase=<none>) without valid internal Clock.
20231031 083222.290 INFO             PET0     driver - Creating model component ATM1 without petList.
20231031 083222.294 INFO             PET0     driver - Creating model component ATM2 without petList.
20231031 083222.298 INFO             PET0     driver - Creating model component MED without petList.
20231031 083222.301 INFO             PET0     driver - Creating connector component ATM1-TO-MED without petList.
20231031 083222.307 INFO             PET0     driver - Creating connector component MED-TO-ATM1 without petList.
20231031 083222.314 INFO             PET0     driver - Creating connector component ATM2-TO-MED without petList.
20231031 083222.321 INFO             PET0     driver - Creating connector component MED-TO-ATM2 without petList.
20231031 083222.329 INFO             PET0     driver - Creating state: modelComp 1 Import State
20231031 083222.329 INFO             PET0     driver - Creating state: modelComp 1 Export State
20231031 083222.330 INFO             PET0     driver - Creating state: modelComp 2 Import State
20231031 083222.330 INFO             PET0     driver - Creating state: modelComp 2 Export State
20231031 083222.330 INFO             PET0     driver - Creating state: modelComp 3 Import State
20231031 083222.330 INFO             PET0     driver - Creating state: modelComp 3 Export State
20231031 083222.332 INFO             PET0     ATM1: InitializeP0 intro.
20231031 083222.333 INFO             PET0     ATM1: InitializeP0 extro.
20231031 083222.333 INFO             PET0     ATM2: InitializeP0 intro.
20231031 083222.334 INFO             PET0     ATM2: InitializeP0 extro.
20231031 083222.334 INFO             PET0     MED: InitializeP0 intro.
20231031 083222.335 INFO             PET0     MED: InitializeP0 extro.
20231031 083222.339 INFO             PET0     ATM1-TO-MED: InitializeP0 intro.
20231031 083222.339 INFO             PET0     ATM1-TO-MED: InitializeP0 extro.
20231031 083222.340 INFO             PET0     ATM2-TO-MED: InitializeP0 intro.
20231031 083222.340 INFO             PET0     ATM2-TO-MED: InitializeP0 extro.
20231031 083222.341 INFO             PET0     MED-TO-ATM1: InitializeP0 intro.
20231031 083222.341 INFO             PET0     MED-TO-ATM1: InitializeP0 extro.
20231031 083222.342 INFO             PET0     MED-TO-ATM2: InitializeP0 intro.
20231031 083222.343 INFO             PET0     MED-TO-ATM2: InitializeP0 extro.
20231031 083222.345 INFO             PET0     driver: IInitAdvertise intro.
20231031 083222.345 INFO             PET0     driver: IInitAdvertise extro.
20231031 083222.345 INFO             PET0     ATM1: InitializeIPDvXp01 intro.
20231031 083222.347 INFO             PET0     ATM1: InitializeIPDvXp01 extro.
20231031 083222.348 INFO             PET0     ATM2: InitializeIPDvXp01 intro.
20231031 083222.350 INFO             PET0     ATM2: InitializeIPDvXp01 extro.
20231031 083222.350 INFO             PET0     MED: InitializeIPDvXp01 intro.
20231031 083222.355 INFO             PET0     MED: InitializeIPDvXp01 extro.
20231031 083222.357 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p1 intro.
20231031 083222.372 INFO             PET0     ATM1-TO-MED: InitializeIPDv05p1 extro.
20231031 083222.372 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p1 intro.
20231031 083222.378 INFO             PET0     ATM2-TO-MED: InitializeIPDv05p1 extro.
20231031 083222.378 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p1 intro.
20231031 083222.382 INFO             PET0     MED-TO-ATM1: InitializeIPDv05p1 extro.
20231031 083222.383 INFO             PET0     MED-TO-ATM2: InitializeIPDv05p1 intro.
